date_key,account,daily_pnl,trade_count,avg_trade_size,avg_leverage,wins,classification,sentiment_value,win_rate
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-970.730876,23,4352.923913043478,333126956.70599306,0,Greed,73.0,0.0
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,508.92214299999995,50,11391.1944,2020001171.5880587,15,Greed,65.0,0.3
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,354.998648,52,13510.58096153846,2041730443.126479,23,Greed,68.0,0.4423076923076923
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-129.53146,18,14679.973888888888,599968699.3468031,1,Greed,65.0,0.05555555555555555
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,783.979116,17,7138.1611764705885,135448952.46799433,8,Greed,71.0,0.47058823529411764
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,866.015507,67,5888.050149253731,262536993.91845673,28,Greed,70.0,0.417910447761194
2024-01-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-67.60364,5,19958.508,9318816482.370224,0,Greed,68.0,0.0
2024-01-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,164.141565,66,25817.31303030303,3068319828.3024497,13,Greed,72.0,0.19696969696969696
2024-01-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,135.58166400000002,22,13569.154545454547,2333823971.169714,10,Greed,70.0,0.45454545454545453
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-835.681235,97,10812.887216494846,764097063.2193859,9,Greed,71.0,0.09278350515463918
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-269.874439,128,11894.159609375,1683873272.160024,32,Greed,71.0,0.25
2024-01-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-826.349863,70,12429.313857142857,752695901.7241601,18,Extreme Greed,76.0,0.2571428571428571
2024-01-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1517.091342,193,10660.515440414507,1827049752.4010675,41,Greed,73.0,0.21243523316062177
2024-01-11,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,2,23066.935,779105380.1368849,0,Extreme Greed,76.0,0.0
2024-01-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-164.08950099999998,19,13641.064736842105,281774951.62138826,5,Extreme Greed,76.0,0.2631578947368421
2024-01-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1925.519024,7,28583.181428571428,8141926947.197923,0,Greed,71.0,0.0
2024-01-15,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,152.85358,9,69.98444444444445,327.99205018314115,9,Neutral,52.0,1.0
2024-01-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,5,10001.248,397190973.22807705,0,Neutral,52.0,0.0
2024-01-16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-3238.8,6,10580.346666666666,297827241.2077945,0,Greed,64.0,0.0
2024-01-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,939.6285419999999,3,17648.416666666668,14383.573272710115,3,Greed,64.0,1.0
2024-01-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,813.2741110000001,53,15110.019433962265,1276833526.6995144,11,Greed,60.0,0.20754716981132076
2024-01-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,68.93319,46,9231.120217391304,42488667.13949852,3,Greed,63.0,0.06521739130434782
2024-01-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-0.20400000000000001,9,169.64555555555555,32916722.09522583,1,Neutral,51.0,0.1111111111111111
2024-01-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-385.215235,39,10946.209230769231,2653342918.65269,5,Neutral,51.0,0.1282051282051282
2024-01-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-146.57487000000003,106,10095.193490566038,1124813995.68194,15,Neutral,52.0,0.14150943396226415
2024-01-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,266.58114600000005,11,9375.43090909091,4547595729.994892,3,Greed,56.0,0.2727272727272727
2024-01-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1166.248788,48,1125.4704166666668,350338366.22855246,14,Greed,55.0,0.2916666666666667
2024-01-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,209.39217099999996,37,7671.794864864864,109332638.97143,9,Greed,55.0,0.24324324324324326
2024-01-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-369.2447299999998,45,9211.531777777778,114595169.04783338,11,Neutral,50.0,0.24444444444444444
2024-01-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-2808.353815,68,14192.42044117647,3037929775.0372496,10,Neutral,48.0,0.14705882352941177
2024-01-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-3093.6293849999997,6,11094.355000000001,37.43102387426452,0,Neutral,52.0,0.0
2024-01-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,90.2,2,4627.9,2291400000.116825,1,Neutral,49.0,0.5
2024-01-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,3,839.1366666666667,0.013888474175704333,0,Neutral,49.0,0.0
2024-01-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-2478.06972,11,1646.2754545454545,3.887414073856668,0,Neutral,54.0,0.0
2024-01-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1.71544,2,1034.4299999999998,516785000.1237201,1,Greed,55.0,0.5
2024-01-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,484.847102,72,5724.157222222222,982027388.908077,44,Greed,55.0,0.6111111111111112
2024-01-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-173.65419100000003,49,8183.905714285715,416146891.5448387,5,Greed,61.0,0.10204081632653061
2024-01-31,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-799.840817,859,7340.683504074505,393774804.0758272,231,Greed,60.0,0.2689173457508731
2024-02-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,6,334.69666666666666,166670000.00637653,0,Greed,63.0,0.0
2024-02-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,456.423473,42,11292.343571428572,1434512691.2830622,13,Greed,63.0,0.30952380952380953
2024-02-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,223.30918699999998,56,10782.5,1384888990.7617688,6,Greed,60.0,0.10714285714285714
2024-02-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,47.62389499999999,35,5805.358,3985.997765475504,9,Greed,60.0,0.2571428571428571
2024-02-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-33.45419400000003,72,10697.198055555556,302086018.17868674,14,Greed,60.0,0.19444444444444445
2024-02-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-215.615907,1088,7396.280707720588,414548879.2129703,179,Greed,64.0,0.1645220588235294
2024-02-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,241.24212,15,450.582,27166007.610676177,2,Greed,62.0,0.13333333333333333
2024-02-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,770.756024,10,2605.112,436090010.8431344,4,Greed,66.0,0.4
2024-02-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,983.443176,34,6244.465294117647,43196445.7283897,7,Greed,71.0,0.20588235294117646
2024-02-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,913.8817869999998,16,14202.981249999999,625001116.5426251,6,Greed,70.0,0.375
2024-02-13,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,559.44389,14,142.85642857142858,0.0022569105777765753,14,Extreme Greed,79.0,1.0
2024-02-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3639.3031690000003,88,2478.8488636363636,1228186932.4429517,79,Greed,74.0,0.8977272727272727
2024-02-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,191.29666400000002,23,4465.268695652174,460722244.85977113,4,Greed,74.0,0.17391304347826086
2024-02-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1024.70728,52,1469.9592307692308,744833077.4289355,49,Greed,72.0,0.9423076923076923
2024-02-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,816.0903969999999,11,9886.378181818181,6448.367090808755,8,Greed,72.0,0.7272727272727273
2024-02-16,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5491.768834,170,2730.2580588235296,923569000.6424209,146,Greed,72.0,0.8588235294117647
2024-02-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,12,8396.053333333333,3545912284.769299,0,Greed,72.0,0.0
2024-02-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1670.012358,64,3161.86234375,1309269534.0317006,54,Extreme Greed,76.0,0.84375
2024-02-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,259.62944200000004,30,6791.962666666667,552554.3160409086,7,Extreme Greed,76.0,0.23333333333333334
2024-02-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,477.6248299999999,97,1619.0532989690723,306859692.2092125,61,Greed,72.0,0.6288659793814433
2024-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4325.827543,95,2488.1485263157892,713556147.0816166,76,Extreme Greed,75.0,0.8
2024-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-8.05898,6,8333.848333333333,835815001.6441307,1,Extreme Greed,75.0,0.16666666666666666
2024-02-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3053.31353,35,3363.1262857142856,1205634050.1991327,27,Greed,72.0,0.7714285714285715
2024-02-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,210.315294,4,427.575,0.01602561724045608,4,Greed,72.0,1.0
2024-02-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1858.7985700000002,21,4668.662857142857,2255040010.209832,15,Extreme Greed,78.0,0.7142857142857143
2024-02-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,1,10005.6,10005600000.0,0,Extreme Greed,78.0,0.0
2024-02-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3894.1050699999996,86,4279.456162790698,485644556.26211715,40,Greed,74.0,0.46511627906976744
2024-02-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,2500.32,0.24162914200890628,0,Greed,74.0,0.0
2024-02-23,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1418.55293,143,776.966013986014,92137213.04232077,137,Extreme Greed,76.0,0.958041958041958
2024-02-25,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-30.7705,5,896.0260000000001,20276001.817976333,0,Greed,74.0,0.0
2024-02-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4416.8473,37,5180.734324324325,1869613514.2508092,34,Greed,72.0,0.918918918918919
2024-02-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,249.98499999999999,15165000.521822222,0,Greed,72.0,0.0
2024-02-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,312.130593,55,3759.7450909090912,1570209830.3388107,19,Extreme Greed,79.0,0.34545454545454546
2024-02-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,576.38114,8,322.04,3.3956196985928373,7,Extreme Greed,79.0,0.875
2024-02-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2503.747235,45,3802.380666666667,1902447778.141829,39,Extreme Greed,82.0,0.8666666666666667
2024-02-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8493.192736,109,3402.198532110092,1495422572.661137,97,Extreme Greed,80.0,0.8899082568807339
2024-02-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1320.804256,7,3546.727142857143,27395714.58288126,3,Extreme Greed,80.0,0.42857142857142855
2024-03-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8244.241409,137,3452.370072992701,1592041022.3959231,128,Extreme Greed,80.0,0.9343065693430657
2024-03-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1674.715167,24,2510.5745833333335,1288923750.0719693,21,Extreme Greed,80.0,0.875
2024-03-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1443.814567,7,420.5385714285714,0.049492449265833835,0,Extreme Greed,80.0,0.0
2024-03-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8361.086245,79,4946.1478481012655,1809714938.2766526,54,Extreme Greed,83.0,0.6835443037974683
